dataset,task,metric,fold,model,value
evons,virality,accuracy,4,mlp_source,0.9500914273421533
evons,virality,f1,4,mlp_source,0.03734439834024896
evons,virality,precision,4,mlp_source,0.5294117647058824
evons,virality,recall,4,mlp_source,0.01935483870967742
evons,virality,auc,4,mlp_source,0.8690832213261649
evons,virality,accuracy,5,mlp_source,0.9514359470797031
evons,virality,f1,5,mlp_source,0.14730878186968838
evons,virality,precision,5,mlp_source,0.6046511627906976
evons,virality,recall,5,mlp_source,0.08387096774193549
evons,virality,auc,5,mlp_source,0.8746021006213963
evons,virality,accuracy,6,mlp_source,0.9505754544476713
evons,virality,f1,6,mlp_source,0.07077856420626896
evons,virality,precision,6,mlp_source,0.5932203389830508
